No,Category,Topic,Explanation,Formula_or_Example
1,Introduction,What is Machine Learning?,Machine Learning is a branch of AI that enables computers to learn patterns from data and make predictions or decisions without being explicitly programmed for every situation.,
2,Introduction,Why Machine Learning?,"ML is useful when traditional rule-based programming becomes difficult. Applications include stock prediction, loan risk analysis, fraud detection, customer segmentation, recommendations, and forecasting.",
3,Introduction,AI vs ML vs Deep Learning,AI is the broad field of intelligent machines; ML is a subset of AI that learns from data; Deep Learning is a subset of ML based on multi-layer neural networks.,
4,Types of ML,Supervised Learning,Learns from labelled data where input features X and target y are known.,Examples: regression and classification
5,Types of ML,Unsupervised Learning,Learns patterns from unlabelled data.,Examples: clustering and dimensionality reduction
6,Types of ML,Semi-Supervised Learning,Uses a combination of labelled and unlabelled data.,
7,Types of ML,Reinforcement Learning,An agent learns by interacting with an environment using rewards and penalties.,"Examples: games, robotics, autonomous systems"
8,ML Workflow,Machine Learning Workflow,Problem definition → data collection → data understanding → cleaning → EDA → feature engineering → train-test split → model selection → training → evaluation → tuning → prediction → deployment.,
9,Preprocessing,Missing Values,"Missing values can be handled using mean, median, mode, forward fill, backward fill, or by removing rows/columns.","Python: df['Age'].fillna(df['Age'].median(), inplace=True)"
10,Preprocessing,Duplicates,Duplicate records should be identified and removed when they represent repeated observations.,Python: df.drop_duplicates(inplace=True)
11,Preprocessing,Outliers,"Outliers are unusually high or low observations. Common methods include IQR, Z-score, and box plots.",IQR = Q3 - Q1; bounds = Q1 - 1.5×IQR and Q3 + 1.5×IQR
12,Preprocessing,Categorical Encoding,Converts categorical variables into numerical representations.,Methods: Label Encoding and One-Hot Encoding
13,Preprocessing,Feature Scaling,Makes numerical features comparable. Standardization uses Z=(X-μ)/σ; normalization commonly scales values to 0–1.,"Important for KNN, SVM, Logistic Regression, K-Means and neural networks"
14,Preprocessing,Train-Test Split,Divides data into training data for learning and testing data for evaluation.,Common split: 80% train and 20% test
15,Supervised Learning,Supervised Learning,Uses input features X and a known target y. Main categories are regression and classification.,
16,Regression,Regression,Predicts a continuous numerical value.,"Examples: house price, stock price, revenue, salary"
17,Regression,Linear Regression,Models a linear relationship between features and a continuous target.,y = β0 + β1x + ε
18,Regression,Multiple Linear Regression,Uses multiple independent variables to predict a continuous target.,y = β0 + β1X1 + β2X2 + ... + βnXn
19,Regression,Polynomial Regression,"Models nonlinear relationships by adding polynomial terms such as x², x³, etc.",
20,Regression,Ridge Regression,Linear Regression with L2 regularization. It helps reduce overfitting.,Loss = MSE + λΣβ²
21,Regression,Lasso Regression,Linear Regression with L1 regularization. It can shrink some coefficients to zero and support feature selection.,Loss = MSE + λΣ|β|
22,Regression,Elastic Net,Combines L1 and L2 regularization.,Useful with many correlated features
23,Classification,Classification,Predicts a category or class.,"Examples: loan approved/rejected, spam/not spam, churn/no churn"
24,Classification,Logistic Regression,A classification algorithm that uses the sigmoid function to estimate class probability.,"P(y=1)=1/(1+e^-z), where z=β0+β1X1+...+βnXn"
25,Classification,K-Nearest Neighbors (KNN),Predicts using the classes or values of the K nearest observations.,Sensitive to feature scaling
26,Classification,Decision Tree,Makes predictions through a sequence of decision rules.,Easy to interpret but can overfit
